"Application id","Session id","Loan Amount","Loan Term","Loan issued","Loan missed first payment","Customer completed open banking","Customer uploaded a payslip","Customer signed contract","Customer is a homeowner"
18874649,"e6baae0b-7705-11ea-a8e5-069d8de3f4da",10000,60,1,0,0,0,1,0
18874701,"0d677140-7707-11ea-a8e5-069d8de3f4da",2000,60,1,0,1,0,1,1
18874705,"13c1a95b-7707-11ea-a8e5-069d8de3f4da",3500,36,1,0,1,0,1,1
18874821,"76f3f22f-7709-11ea-a8e5-069d8de3f4da",5000,60,0,0,0,0,1,1
18874946,"cfdf8724-770b-11ea-a8e5-069d8de3f4da",7100,18,0,0,0,0,0,0
18875143,"b5f0247b-770e-11ea-a8e5-069d8de3f4da",600,12,1,0,1,1,1,1
18875279,"7ca5cf18-7710-11ea-a8e5-069d8de3f4da",6500,54,1,0,1,0,1,1
18875433,"5b135af8-7712-11ea-a8e5-069d8de3f4da",4000,30,1,0,1,0,1,0
18875444,"8cf2bd72-7712-11ea-a8e5-069d8de3f4da",1000,24,1,0,1,0,1,1
18875485,"03c4449f-7713-11ea-a8e5-069d8de3f4da",5000,48,1,1,1,0,1,0
18875596,"8c3acf23-7714-11ea-a8e5-069d8de3f4da",4500,36,0,0,0,0,0,0
18875713,"53f15c6f-7715-11ea-a8e5-069d8de3f4da",8000,48,1,0,0,1,1,1
18875774,"986102f8-7716-11ea-a8e5-069d8de3f4da",1000,24,1,0,0,0,1,0
18875849,"f53d2e4e-7716-11ea-a8e5-069d8de3f4da",7500,36,0,0,0,0,1,0
18875953,"4f62419e-7718-11ea-a8e5-069d8de3f4da",6000,36,0,0,0,0,0,0
18876331,"b8017434-771b-11ea-a8e5-069d8de3f4da",3000,36,1,0,1,0,1,1
18876648,"2bd35eae-771e-11ea-a8e5-069d8de3f4da",3000,36,0,0,0,0,0,0
18876984,"085cd849-7721-11ea-a8e5-069d8de3f4da",15000,60,1,0,1,1,1,1
18876990,"125b4ca4-7721-11ea-a8e5-069d8de3f4da",4000,36,1,0,0,1,1,0
18877300,"d25e0549-7723-11ea-a8e5-069d8de3f4da",1100,12,1,0,1,0,1,0
18877382,"a5ff1d4b-7724-11ea-a8e5-069d8de3f4da",4000,48,0,0,0,0,0,1
18877580,"6e6a8a0e-7726-11ea-a8e5-069d8de3f4da",2000,12,0,0,0,0,0,0
18877693,"60c9889b-7727-11ea-a8e5-069d8de3f4da",1500,18,1,0,1,0,1,0
18877748,"c7ae612f-7727-11ea-a8e5-069d8de3f4da",2000,24,1,0,1,0,1,0
18877751,"d663faeb-7727-11ea-a8e5-069d8de3f4da",2000,18,0,0,0,0,0,0
18877968,"62693dc9-7729-11ea-a8e5-069d8de3f4da",2000,18,0,0,0,0,0,1
18878275,"40cc3b0a-772b-11ea-a8e5-069d8de3f4da",1000,24,1,0,1,0,1,0
18878288,"6660e007-772b-11ea-a8e5-069d8de3f4da",1500,24,0,0,0,0,0,0
18878600,"2b9454f4-772e-11ea-a8e5-069d8de3f4da",5000,36,0,0,0,0,0,0
18878953,"753b5547-7731-11ea-a8e5-069d8de3f4da",5500,12,0,0,0,0,0,1
18878960,"8057ce41-7731-11ea-a8e5-069d8de3f4da",10000,36,1,0,0,1,1,0
18879094,"ac3f0aa7-7732-11ea-a8e5-069d8de3f4da",3000,36,1,0,1,0,1,0
18879135,"52a7be89-7733-11ea-a8e5-069d8de3f4da",10000,60,0,0,0,0,1,0
18879144,"6947c1ab-7733-11ea-a8e5-069d8de3f4da",3200,48,0,0,1,0,0,1
18879173,"d8f18d84-7733-11ea-a8e5-069d8de3f4da",15000,60,1,0,1,1,1,1
18879231,"849ce8d5-7734-11ea-a8e5-069d8de3f4da",5000,48,1,0,1,1,1,0
18879501,"4848cae7-7737-11ea-a8e5-069d8de3f4da",1200,24,1,0,1,0,1,0
